Song ID,Artist,Title,Album,Year,Date,Raw Lyrics
1,ABBA,Mamma Mia,ABBA,,,"I've been cheated by you since I don't know when
So I made up my mind: it must come to an end
Look at me now, will I ever learn?
I don't know how, but I suddenly lose control
There's a fire within my soul

Just one look and I can hear a bell ring
One more look and I forget everything, whoa

Mamma mia, here I go again
My my, how can I resist you?
Mamma mia, does it show again?
My my, just how much I've missed you
Yes, I've been broken-hearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, now I really know
My my, I could never let you go

I've been angry and sad about things that you do
I can't count all the times that I've told you we're through
And when you go, when you slam the door
I think you know that you won't be away too long
You know that I'm not that strong
Just one look and I can hear a bell ring
One more look and I forget everything, whoa

Mamma mia, here I go again
My my, how can I resist you?
Mamma mia, does it show again
My my, just how much I've missed you?
Yes, I've been broken-hearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, even if I say
""Bye-bye"", leave me now or never
Mamma mia, it's a game we play
""Bye-bye"" doesn't mean forever
Mamma mia, here I go again
My my, how can I resist you?
Mamma mia, does it show again
My my, just how much I've missed you?
Yes, I've been broken-hearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, now I really know
My my, I could never let you go17Embed"
2,ABBA,Dancing Queen,Arrival,1976,1976-08-15,"You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen

Friday night and the lights are low
Looking out for a place to go
Where they play the right music, getting in the swing
You come to look for a king
Anybody could be that guy
Night is young and the music's high
With a bit of rock music, everything is fine
You're in the mood for a dance
And when you get the chance

You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen
You're a teaser, you turn 'em on
Leave 'em burning and then you're gone
Looking out for another, anyone will do
You're in the mood for a dance
And when you get the chance

You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen

Digging the dancing queen43Embed"
3,ABBA,The Winner Takes It All,Super Trouper,1980,1980-07-21,"I don't wanna talk
About things we've gone through
Though it's hurting me, now it's history
I've played all my cards
And that's what you've done, too
Nothing more to say, no more ace to play

The winner takes it all
The loser's standing small
Beside the victory
That's her destiny

I was in your arms
Thinking I belonged there
I figured it made sense, building me a fence
Building me a home
Thinking I'd be strong there
But I was a fool playing by the rules

The gods may throw a dice
Their minds as cold as ice
And someone way down here
Loses someone dear
The winner takes it all (Takes it all)
The loser has to fall (Has to fall)
It's simple and it's plain (It seems plain)
Why should I complain? (Why complain)
But tell me, does she kiss
Like I used to kiss you?
Does it feel the same when she calls your name?
Somewhere deep inside
You must know I miss you
But what can I say? Rules must be obeyed

The judges will decide (They decide)
The likes of me abide (We abide)
Spectators of the show (Of the show)
Always staying low (Staying low)
The game is on again (On again)
A lover or a friend (Or a friend)
A big thing or a small (Big or small)
The winner takes it all (Takes it all)

I don't wanna talk
If it makes you feel sad
And I understand, you've come to shake my hand
I apologise
If it makes you feel bad
Seeing me so tense, no self-confidence
But you see, the winner takes it all
The winner takes it all

(So the winner)
(Takes it all)
(And the loser)
(Has to fall)
(Throw a dice)
(Cold as ice)
(Way down here)
(Someone dear)
(Takes it all)
(Has to fall)
(It seems plain)
(Why complain)15Embed"
4,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),Voulez-Vous,1979,1979-10-02,"Half-past twelve
And I'm watching the late show in my flat, all alone
How I hate to spend the evening on my own
Autumn winds
Blowing outside the window as I look around the room
And it makes me so depressed to see the gloom

There's not a soul out there
No one to hear my prayer

Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day

Movie stars
Find the end of the rainbow with a fortune to win
It's so different from the world I'm living in
Tired of TV
I open the window and I gaze into the night
But there's nothing there to see, no one in sight
There's not a soul out there
No one to hear my prayer

Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day

Gimme, gimme, gimme a man after midnight
Gimme, gimme, gimme a man after midnight


There's not a soul out there
No one to hear my prayer

Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day
Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day21Embed"
5,ABBA,Super Trouper,Super Trouper,1980,1980-11-03,"Super Trouper beams are gonna blind me
But I won't feel blue
Like I always do
'Cause somewhere in the crowd, there's you

I was sick and tired of everything
When I called you last night from Glasgow
All I do is eat and sleep and sing
Wishing every show was the last show
(Wishing every show was the last show)

So imagine I was glad to hear you're coming
(Glad to hear you're coming)
Suddenly I feel all right
(And suddenly it's gonna be)
And it's gonna be so different
When I'm on the stage tonight

Tonight, the Super Trouper lights are gonna find me
Shining like the sun (Sup-p-per Troup-p-per)
Smiling, having fun (Sup-p-per Troup-p-per)
Feeling like a number one
Tonight, the Super Trouper beams are gonna blind me
But I won't feel blue (Sup-p-per Troup-p-per)
Like I always do (Sup-p-per Troup-p-per)
'Cause somewhere in the crowd there's you
Facing twenty thousand of your friends
How can anyone be so lonely?
Part of a success that never ends
Still, I'm thinking about you only
(Still, I'm thinking about you only)

There are moments when I think I'm going crazy
(Think I'm going crazy)
But it's gonna be all right
(You'll soon be changing everything)
Everything will be so different
When I'm on the stage tonight

Tonight, the Super Trouper lights are gonna find me
Shining like the sun (Sup-p-per Troup-p-per)
Smiling, having fun (Sup-p-per Troup-p-per)
Feeling like a number one
Tonight, the Super Trouper beams are gonna blind me
But I won't feel blue (Sup-p-per Troup-p-per)
Like I always do (Sup-p-per Troup-p-per)
'Cause somewhere in the crowd there's you

So I'll be there when you arrive
The sight of you will prove to me I'm still alive
And when you take me in your arms and hold me tight
I know it's gonna mean so much tonight
Tonight, the Super Trouper lights are gonna find me
Shining like the sun (Sup-p-per Troup-p-per)
Smiling, having fun (Sup-p-per Troup-p-per)
Feeling like a number one
Tonight, the Super Trouper beams are gonna blind me
But I won't feel blue (Sup-p-per Troup-p-per)
Like I always do (Sup-p-per Troup-p-per)
'Cause somewhere in the crowd there's you

(Sup-p-per Troup-p-per) Lights are gonna find me
Shining like the sun (Sup-p-per Troup-p-per)
Smiling, having fun (Sup-p-per Troup-p-per)
Feeling like a number one
Tonight, the Super Trouper beams are gonna blind me
But I won't feel blue
But I won't feel blue (Sup-p-per Troup-p-per)
Like I always do... (Sup-p-per Troup-p-per)17Embed"
6,ABBA,Fernando,Greatest Hits,1976,1976-04-12,"
Can you hear the drums, Fernando?
I remember, long ago, another starry night like this
In the firelight, Fernando
You were humming to yourself and softly strumming your guitar
I could hear the distant drums and sounds of bugle calls were coming from afar

They were closer now, Fernando
Every hour, every minute seemed to last eternally
I was so afraid, Fernando
We were young and full of life and none of us prepared to die
And I'm not ashamed to say the roar of guns and cannons almost made me cry

There was something in the air that night
The stars were bright, Fernando
They were shining there for you and me
For liberty, Fernando
Though we never thought that we could lose
There's no regret
If I had to do the same again
I would, my friend, Fernando
If I had to do the same again
I would, my friend, Fernando
Now we're old and grey, Fernando
Since many years I haven't seen a rifle in your hand
Can you hear the drums, Fernando?
Do you still recall the fateful night we crossed the Rio Grande?
I can see it in your eyes, how proud you were to fight for freedom in this land

There was something in the air that night
The stars were bright, Fernando
They were shining there for you and me
For liberty, Fernando
Though I never thought that we could lose
There's no regret
If I had to do the same again
I would, my friend, Fernando
There was something in the air that night
The stars were bright, Fernando
They were shining there for you and me
For liberty, Fernando
Though I never thought that we could lose
There's no regret
If I had to do the same again
I would, my friend, Fernando
Yes, if I had to do the same again
I would, my friend, Fernando
If I had to do the same again
I would, my friend, Fernando10Embed"
7,ABBA,One of Us,The Visitors ,1981,1981-12-07,"They passed me by, all of those great romances
You were, I felt, robbing me of my rightful chances
My picture clear, everything seemed so easy

And so I dealt you the blow, one of us had to go
Now it's different, I want you to know

One of us is crying, one of us is lying
In her lonely bed
Staring at the ceiling
Wishing she was somewhere else instead
(One of us is shaking with a heart that's breaking)
One of us is lonely, one of us is only
Waiting for a call
Sorry for herself, feeling stupid, feeling small
Wishing she had never left at all

I saw myself as a concealed attraction
I felt you kept me away from the heat and the action
Just like a child, stubborn and misconceiving

That's how I started the show, one of us had to go
Now I've changed and I want you to know
One of us is crying, one of us is lying
In her lonely bed
Staring at the ceiling
Wishing she was somewhere else instead
(One of us is shaking with a heart that's breaking)
One of us is lonely, one of us is only
Waiting for a call
Sorry for herself, feeling stupid, feeling small
Wishing she had never left at all

Never left at all

Staring at the ceiling
Wishing she was somewhere else instead
(One of us is shaking with a heart that's breaking)
One of us is lonely, one of us is only
Waiting for a call...3Embed"
8,ABBA,Waterloo,Waterloo ,1974,1974-03-12,"My, my - at Waterloo, Napoleon did surrender
Oh, yeah - and I have met my destiny in quite a similar way

The history book on the shelf
Is always repeating itself

Waterloo, I was defeated, you won the war
Waterloo, promise to love you forevermore
Waterloo, couldn't escape if I wanted to
Waterloo, knowing my fate is to be with you
Wa-Wa-Wa-Wa-Waterloo
Finally facing my Waterloo

My, my - I tried to hold you back, but you were stronger
Oh, yeah - and now it seems my only chance is giving up the fight

And how could I ever refuse?
I feel like I win when I lose

Waterloo, I was defeated, you won the war
Waterloo, promise to love you forevermore
Waterloo, couldn't escape if I wanted to
Waterloo, knowing my fate is to be with you
Wa-Wa-Wa-Wa-Waterloo
Finally facing my Waterloo
So how could I ever refuse?
I feel like I win when I lose

Waterloo, couldn't escape if I wanted to
Waterloo, knowing my fate is to be with you
Wa-Wa-Wa-Wa-Waterloo
Finally facing my Waterloo
Woo, Waterloo, knowing my fate is to be with you
Wa-Wa-Wa-Wa-Waterloo
Finally facing my Waterloo
Woo, Waterloo, knowing my fate is to be with you15Embed"
9,ABBA,Lay All Your Love on Me,Super Trouper,,,"I wasn't jealous before we met
Now every woman I see is a potential threat
And I'm possessive, it isn't nice
You've heard me saying that smoking was my only vice

But now it isn't true
Now everything is new
And all I've learned has overturned
I beg of you

Don't go wasting your emotion
Lay all your love on me

It was like shooting a sitting duck
A little small talk, a smile, and baby, I was stuck
I still don't know what you've done with me
A grown-up woman should never fall so easily

I feel a kind of fear
When I don't have you near
Unsatisfied, I skip my pride
I beg you, dear
Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me

I've had a few little love affairs
They didn't last very long and they've been pretty scarce
I used to think that was sensible
It makes the truth even more incomprehensible

'Cause everything is new
And everything is you
And all I've learned has overturned
What can I do?

Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me
Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me
Don't go wasting your emotion
Lay all your love on me9Embed"
10,ABBA,Chiquitita,Voulez-Vous,1979,1979-01-16,"Chiquitita, tell me what's wrong
You're enchained by your own sorrow
In your eyes, there is no hope for tomorrow
How I hate to see you like this
There is no way you can deny it
I can see that you're oh, so sad, so quiet

Chiquitita, tell me the truth
I'm a shoulder you can cry on
Your best friend, I'm the one you must rely on
You were always sure of yourself
Now, I see you've broken a feather
(How it hurts to see you cry)
(And how it hurts to see you sad)
I hope we can patch it up together

Chiquitita, you and I know
How the heartaches come and they go
And the scars they're leaving
You'll be dancing once again
And the pain will end
You will have no time for grieving
Chiquitita, you and I cry
But the sun is still in the sky
And shining above you
(Even though you cry)
(The sun is shining in the sky)
Let me hear you sing once more
(So let me hear you sing some more)
Like you did before
(The way you used to do before)
Sing a new song, Chiquitita
Try once more, like you did before
Sing a new song, Chiquitita
So the walls came tumbling down
And your love's a blown-out candle
All is gone, and it seems too hard to handle
Chiquitita, tell me the truth
There is no way you can deny it
I see that you're oh, so sad, so quiet

Chiquitita, you and I know
How the heartaches come and they go
And the scars they're leaving
(You and I, we know)
(How all the heartaches come and go)
You'll be dancing once again
(You'll be dancing once again)
And the pain will end
(And all the pain you take will end)
You will have no time for grieving
Chiquitita, you and I cry
But the sun is still in the sky
And shining above you
(Even though you cry)
(The sun is shining in the sky)
Let me hear you sing once more
(So let me hear you sing some more)
Like you did before
(The way you used to do before)
Sing a new song, Chiquitita
Try once more, like you did before
Sing a new song, Chiquitita
Try once more, like you did before
Sing a new song, Chiquitita10Embed"
